,key,stars,helpful_yes,helpful_no,text,rating,sentiment,text_custom,text_custom_str,bag_of_words,bag_of_words_str
0,0_breyers,1,11,0,"['interested', 'flavoring', 'component', 'ingredient', 'mention', 'vanilla', 'bean', 'vanilla', 'natural', 'flavor', 'statement', 'characteristic', 'vanilla', 'state', 'flavor', 'natural', 'leaf', 'obvious', 'flavoring', 'agent', 'besides', 'vanilla', 'common', 'component', 'nowadays', 'ingredient', 'vegetable', 'source', 'ground', 'beetle', 'shell', 'also', 'include', 'vegetable', 'sourced', 'flavoring', 'agent', 'natural', 'vanilla', 'regarding', 'titled', 'better', 'must', 'agree', 'advertised', 'vanilla', 'bean', 'speck', 'could', 'see', 'much', 'main', 'much', 'better', 'back', 'manufacturer', 'vanilla', 'perspective', 'since', 'still', 'mint', 'chocolate', 'chip', 'favorite', 'vanilla', 'even', 'top', 'pie', 'anymore', 'much', 'le', 'top', 'change', 'made', 'gunking', 'gum', 'disappointing', 'much', 'le', 'coca', 'cola', 'back', 'coke', 'least', 'sense', 'go', 'back', 'classic', 'recommend', 'vanilla', 'anyone', 'anymore', 'recommend']",4.1,0,"['choc', 'chocolate', 'bean', 'pie', 'mint', 'vanilla', 'gum', 'natural', 'chip', 'sour', 'speck']","choc,chocolate,bean,pie,mint,vanilla,gum,natural,chip,sour,speck","['choc', 'chocolate', 'bean', 'pie', 'mint', 'vanilla', 'gum', 'natural', 'chip', 'sour', 'speck']","choc,chocolate,bean,pie,mint,vanilla,gum,natural,chip,sour,speck"
1,0_breyers,1,7,0,"['surprised', 'discover', 'dairy', 'even', 'ingredient', 'corn', 'syrup', 'much', 'different']",4.1,0,"['syrup', 'dairy']","syrup,dairy","['syrup', 'dairy']","syrup,dairy"
2,0_breyers,1,8,0,"['awhile', 'surprised', 'find', 'cheapened', 'ingredient', 'vegetable', 'gum', 'natural', 'disappointment']",4.1,0,"['gum', 'natural']","gum,natural","['gum', 'natural']","gum,natural"
3,0_breyers,1,4,0,"['natural', 'vanilla', 'include', 'tara', 'gum', 'change', 'texture', 'importantly', 'negative', 'way', 'rich', 'creamy', 'vanilla', 'profile', 'taste', 'take', 'previously', 'perceptible', 'vanilla', 'bean', 'previously', 'go', 'tried', 'find', 'better', 'replacement', 'without', 'funky', 'gum', 'least', 'classic', 'come', 'back']",4.1,0,"['rich', 'bean', 'creamy', 'vanilla', 'gum', 'texture']","rich,bean,creamy,vanilla,gum,texture","['rich', 'bean', 'creamy', 'vanilla', 'gum', 'texture']","rich,bean,creamy,vanilla,gum,texture"
4,0_breyers,5,21,2,"['found', 'turkey', 'natural', 'settle', 'filler', 'natural']",4.1,1,"['turkey', 'natural']","turkey,natural","['turkey', 'natural']","turkey,natural"
5,0_breyers,1,4,0,"['rarely', 'day', 'around', 'occasional', 'indulgence', 'breyer', 'standard', 'back', 'logical', 'tried', 'immediately', 'top', 'sweet', 'taste', 'sink', 'melting', 'flush', 'toilet', 'visiting', 'see', 'sugar', 'first', 'disappointed']",4.1,0,['sweet'],sweet,['sweet'],sweet
6,0_breyers,2,11,0,"['breyer', 'best', 'chemical', 'natural', 'ruined']",4.1,0,['natural'],natural,['natural'],natural
7,0_breyers,1,2,0,"['upset', '1', '5qt', 'container', 'natural', 'vanilla', 'two', 'different', 'store', 'lacked', 'speck']",4.1,0,['speck'],speck,['speck'],speck
8,0_breyers,1,3,0,"['seems', 'year', 'heavily', 'cheapened', 'maker', 'gum', 'stabilize', 'shipping', 'unfortunately', 'make', 'unbearable', 'nothing', 'succumbed', 'industry', 'trend', 'rather', 'maintaining', 'quality', 'support', 'personally', 'never', 'minded', 'paying', 'quality', 'theyve', 'cheapened', 'shrunken', 'yet', 'still', 'charge', 'hefty', 'price', 'brand', 'found', 'still', 'hagan', 'turkey', 'blue', 'bunny', 'vanilla', 'come', 'plastic', 'wont']",4.1,0,"['gum', 'tart']","gum,tart","['gum', 'tart']","gum,tart"
9,0_breyers,1,5,0,"['vanilla', 'miss', 'mark', 'come', 'vanilla', 'bean', 'vanilla', 'natural', 'vanilla', 'vanilla', 'bean', 'speck', 'absolutely', 'vanilla', 'frankly', 'horrible', 'better', 'mill', 'superstore', 'grade', 'vanilla', 'except', 'lack', 'diglycerides', 'please', 'back', 'natural', 'vanilla', 'vanilla', 'bean', 'speck']",4.1,0,"['bean', 'vanilla', 'speck']","bean,vanilla,speck","['bean', 'vanilla', 'speck']","bean,vanilla,speck"
